DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),CHN.XDC_USD.PA_RT.A,OBS_VALUE,"China, People's Republic of",CHN,Domestic currency per US Dollar,Period average,Annual,Units,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501,6.900767269,6.44897518,6.737158112,7.083998423,7.197491108,
IMF.STA:ER(4.0.1),UZB.XDC_USD.PA_RT.A,OBS_VALUE,"Uzbekistan, Republic of",UZB,Domestic currency per US Dollar,Period average,Annual,Units,0,0,0,2094.988465,2310.948159,2567.987213,2965.253499,5113.878946,8069.606237,8836.7875,10054.26133,10609.46439,11050.14542,11734.83342,12652.28682,
IMF.STA:ER(4.0.1),KNA.XDC_USD.PA_RT.A,OBS_VALUE,St. Kitts and Nevis,KNA,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
IMF.STA:ER(4.0.1),BHS.XDC_USD.PA_RT.A,OBS_VALUE,"Bahamas, The",BHS,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),BMU.XDC_USD.PA_RT.A,OBS_VALUE,Bermuda,#N/A,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),KOS.XDC_USD.PA_RT.A,OBS_VALUE,"Kosovo, Republic of",XKX,Domestic currency per US Dollar,Period average,Annual,Units,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893215581,0.877475207,0.845376564,0.950915534,0.924709623,0.924367447,
IMF.STA:ER(4.0.1),TLS.XDC_USD.PA_RT.A,OBS_VALUE,"Timor-Leste, Democratic Republic of",TLS,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),GIN.XDC_USD.PA_RT.A,OBS_VALUE,Guinea,GIN,Domestic currency per US Dollar,Period average,Annual,Units,5726.071021,6658.031258,6985.829026,6907.87807,7014.118777,7485.516742,8967.92708,9088.319496,9011.134177,9183.875864,9565.082183,,,,,
IMF.STA:ER(4.0.1),CMR.XDC_USD.PA_RT.A,OBS_VALUE,Cameroon,CMR,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
IMF.STA:ER(4.0.1),NZL.XDC_USD.PA_RT.A,OBS_VALUE,New Zealand,NZL,Domestic currency per US Dollar,Period average,Annual,Units,1.387833828,1.265810697,1.234283655,1.219407974,1.205433333,1.433975,1.436525,1.407408333,1.445258333,1.517875,1.542058333,1.4138,1.577183333,1.628433333,1.652308333,
